death_rate,incidence,median_income,population_2015,poverty_pct,median_age,private_insurance_pct,urban_rural,income_category
288.4935459,463.4,35799,27037,20.6,43,59.6,0,Low
300.8305539,493.8,35046,61164,20.5,42.3,56.4,0,Low
276.8569451,456.6,40012,27451,16.1,43.2,58.6,0,Low
300.4902736,507,29839,25292,28.1,41.7,51.6,0,Low
126.6357113,444.5,43835,104236,22.5,30,76.5,1,Low
288.7605509,434.6,36351,13506,19.3,46.6,60.5,0,Low
296.735905,425.4,44446,17524,13,46.1,63.7,0,Low
281.3159334,455.5,36375,25594,19.6,43.4,61.6,0,Low
285.6081363,500.9,40195,43066,18.4,43.3,70.9,0,Low
262.830267,381.8,38204,7229,16.7,49.1,59.8,0,Low
273.6512901,458.9,44801,7674,16.5,43.6,71.6,0,Low
267.2243523,384.8,34341,8607,17.6,48.4,60,0,Low
215.0854449,435.3,41420,33940,17.6,42.3,63.5,0,Low
200.5347594,497.2,59472,56848,10,41,73.6,0,Medium
265.7721584,469.6,40270,77510,17.7,41.6,60.6,0,Low
233.4683788,405.2,37468,29126,20.8,43.2,59.6,0,Low
320.5770387,502,46383,9982,17.7,45.2,57.4,0,Medium
284.031867,449.2,33041,14435,23.1,44.2,51.6,0,Low
271.9238613,377.1,32456,13239,25.8,46.3,60.2,0,Low
230.6054872,400.9,40305,16912,16.8,43,63.7,0,Low
272.7533735,528.4,36466,6966,17.1,47.7,68,0,Low
300.8356546,468.3,41019,8975,15.8,46.2,62.3,0,Low
242.3459084,453.7,38387,24758,19.7,41.8,59.7,0,Low
248.956579,433.2,37242,40971,20,42.5,54.6,0,Low
376.92747,511.9,29331,8755,26.1,46.3,45.1,0,Low
316.1355589,514.6,40013,15816,18.5,46,63.5,0,Low
238.0952381,455.3,38600,5880,20.3,45,61.6,0,Low
251.0063388,488.8,41932,86452,17.2,42.5,63,1,Low
311.4983522,447.8,34419,22151,22.8,42.8,54.6,0,Low
362.3188406,467.9,42063,20148,17.8,51.4,63.9,0,Low
284.0371142,451.5,41294,15843,14.9,42.2,62.7,0,Low
245.813489,412.1,46375,45563,13.7,43.9,68.4,0,Medium
280.4299927,369.9,44395,14977,13.6,50.8,65.9,0,Low
156.92762,479.1,54141,258718,12,36.8,72.5,1,Medium
250.151607,385.7,50998,13192,10.5,45,73.4,0,Medium
329.8370605,399.2,41810,15159,16.5,50.9,64.2,0,Low
158.755677,474.1,68430,49762,5.9,39,84.1,0,Medium
193.606271,482.4,52485,63531,10.7,40.6,73.4,0,Medium
203.2225287,455.2,45316,34445,16,37.1,56.6,0,Medium
216.7668259,476.1,59020,56743,8.8,42,78.2,0,Medium
262.3390885,466.4,43562,16391,14.7,45.9,67.4,0,Low
135.01565,430.7,61937,523643,13.4,34.6,82.5,1,Medium
227.1135116,437.3,54359,88502,9.9,42,77.7,1,Medium
279.4512593,449.3,49717,27554,11,51.7,75.8,0,Medium
238.5266393,354.7,46475,43601,13.9,40.6,66.5,0,Medium
161.8086613,396.1,52224,44497,13.9,34.1,72.4,0,Medium
173.3509622,440.9,48102,102105,14.4,33.8,74.8,1,Medium
291.218638,308.2,44562,4464,12.8,51.1,68.9,0,Low
202.0142587,477,52149,101973,9.9,41,77.1,1,Medium
276.0295904,490.6,41418,9057,17,45.3,59.8,0,Low
206.6985646,428.2,46972,52250,15,36.1,74.8,0,Medium
198.9996235,420,53328,37186,8.7,42.2,78.2,0,Medium
187.0251315,447.2,61802,17110,8.2,458.4,83.4,0,Medium
287.3563218,356.1,40351,5220,16,46.1,64.9,0,Low
323.5198965,400.6,43883,3091,12.1,49.5,75.6,0,Low
168.4352367,221.5,55955,5937,9.2,38.8,76.1,0,Medium
251.791594,432.5,49517,5163,10.7,48.9,74,0,Medium
198.1879955,453.6,41344,7064,34,28.6,39.9,0,Low
288.8781897,350.1,44726,4154,12.3,46,70.5,0,Low
192.611616,431.4,69191,20248,7.4,41.2,82.4,0,Medium
160.1366499,392,53290,9367,13.6,30.1,82.7,0,Medium
331.0344828,495.5,40979,3625,12.7,47.5,69.1,0,Low
239.0265102,389.2,51335,13806,10.6,41.3,77.4,0,Medium
256.1983471,453.5494221,46840,24200,13.2,38.9,63,0,Medium
147.5316117,453.5494221,51241,2114801,15.6,36.4,62.9,1,Medium
226.3676378,453.5494221,60322,47710,10.3,49.4,70.7,0,Medium
105.9016078,453.5494221,72648,51935,10.8,33.5,73,0,Medium
482.509047,453.5494221,47180,829,14,46.5,56.5,0,Medium
198.4126984,453.5494221,70535,2016,9.8,43.9,76.4,0,Medium
158.6462189,453.5494221,67423,17019,10.7,35.3,69.4,0,Medium
118.583771,453.5494221,74347,5903,11,37.2,69.1,0,Medium
178.7132645,453.5494221,45629,5036,15.1,37.4,64.1,0,Medium
235.8086907,453.5494221,48576,52585,13.7,43.2,61.1,0,Medium
446.6279589,453.5494221,40714,4478,19,48.7,58.1,0,Low
362.5491442,453.5494221,42881,42477,16.8,50.8,53.1,0,Low
135.6647573,453.5494221,52001,6634,18.5,41.3,59.9,0,Medium
175.5706045,453.5494221,55291,3987,8.4,54.7,68.5,0,Medium
162.6751219,453.5494221,52862,446903,15.4,37.6,65.4,1,Medium
234.430741,453.5494221,57243,9811,13.7,39.4,67.6,0,Medium
265.9525687,453.5494221,45639,54521,19.3,42.6,61.3,0,Medium
249.0064478,508.6,59831,60641,10,46.1,69.6,0,Medium
281.273131,481.8,57556,47285,10.7,50.3,70,0,Medium
205.5092282,489.4,56008,75909,11.8,42,75,0,Medium
297.9623222,459.2,42491,31212,14.9,48.1,61.8,0,Low
199.2834751,435.5,56353,89320,11.6,41.9,72.3,1,Medium
170.6509819,482.2,71233,406678,8.7,40.1,76.7,1,Medium
208.7922483,507.6,62429,147994,9.5,42.6,76.3,1,Medium
188.8811937,518.8,79653,301777,6.1,43.5,82.7,1,High
178.9867928,502.6,58577,126825,11.8,37.2,74.8,1,Medium
237.3914865,475.7,57142,42967,10.4,45.1,69.6,0,Medium
212.9684668,505.5,54208,274219,15.1,40.6,66.9,1,Medium
183.4831104,468.1,84309,938506,7.6,41.5,75.5,1,High
203.0091554,531.8,80479,450226,7.2,41,81.4,1,High
203.3574531,530.9,61685,510923,13,38.3,68.3,1,Medium
331.4788814,559.1,55409,94727,13,48.3,72.1,1,Medium
203.3954855,511.3,45438,155854,19.5,36.9,59.4,1,Medium
159.5116336,450.6,54603,797434,16.7,36.9,59.9,1,Medium
206.5328892,544.2,78983,291479,8.2,39.6,78,1,High
129.8093166,399.5,57720,674836,17.7,34.7,56.5,1,Medium
167.3466786,496.3,103876,125488,4.7,45,87.5,1,High
174.4758992,504.7,73750,371398,11.8,38.4,73.1,1,Medium
161.3747176,466.7,77330,840900,8.3,37.7,74.6,1,High
201.8402615,529.6,87220,628715,8.2,42.3,78.8,1,High
176.9737883,488.5,100511,499509,5,42,84,1,High
272.9646131,524.9,62937,588721,11.9,42.8,70.9,1,Medium
161.8661385,448.4,58030,510916,18.2,36.5,55.8,1,Medium
255.5313182,516.6,56645,64180,13.1,41.8,69.1,0,Medium
164.5417109,471,100194,333654,5,40.8,82.2,1,High
195.5830253,493.1,82048,143673,6.2,43.4,80.9,1,High
163.5521586,463,68172,555786,11.1,38.1,65.9,1,Medium
212.4095856,485.9,71294,106869,8.3,42.6,76.9,1,Medium
152.360404,404.1,47192,676685,18.7,36.5,58.5,1,Medium
289.3518519,375.5,33256,3456,22.2,57.1,62.3,0,Low
187.032419,375.8,38403,65764,23.4,34.8,49.6,0,Low
153.6829009,375.5,35081,27329,28.8,36.2,40.4,0,Low
241.662639,377.4,37156,12414,20.5,47.6,57.1,0,Low
130.9575777,336.5,42620,50398,19.2,30.7,56.9,0,Low
437.6367615,467.1,33789,1828,20.6,47.3,53.4,0,Low
148.8602161,381,38974,214295,27.9,32.4,49.6,1,Low
185.8348675,391.3,57007,57578,14.1,36.5,62.3,0,Medium
265.6506694,366.5,38221,28609,19.1,46.5,57,0,Low
183.0244795,361.2,29147,4371,25.8,41.6,60.6,0,Low
248.6999774,357,34304,4423,24.5,41.8,42.7,0,Low
139.0840124,357.1,58994,71180,16.6,31.8,55.6,0,Medium
211.1225541,363.9,39995,19420,20.1,50.4,54.5,0,Low
151.8133258,406.2,108477,17785,4.2,43.5,89.6,0,High
261.0327107,420.6,27268,24518,30.6,39,37.5,0,Low
106.8988893,332.9,29497,76708,35.8,30.8,25,0,Low
217.5805048,359,27627,4596,24.2,42.6,27.8,0,Low
189.5528417,393,41736,64362,20.2,35.6,53.2,0,Low
319.33767,412.7,29069,8455,23.9,45.7,54.8,0,Low
179.906246,351.8,34902,39465,24.1,40.1,48.8,0,Low
167.3640167,360.7,36108,19120,24,29.4,54.7,0,Low
134.8695066,395.4,56142,139394,12.6,469.2,63.8,1,Medium
139.8047786,356.1,47520,118737,21,34.2,50.4,1,Medium
203.8116351,355.6,32964,27967,25.5,42.5,46.4,0,Low
155.360962,374.3,52628,148686,14.2,44.4,60.1,1,Medium
416.5928027,424.2,29036,11282,23.8,55.6,50.8,0,Low
197.0329161,404.4,32285,17256,31,36.8,50.5,0,Low
188.4097608,339,36125,32907,19.2,46.8,47.3,0,Low
206.6515983,558.5,37311,15485,27.6,43.3,42,0,Low
214.234706,303,36684,4201,19.4,40.3,48.2,0,Low
175.607695,402.3,40591,75737,24.5,38.5,52.6,0,Low
205.8949968,505.9,60371,309381,13.5,37.9,77.7,1,Medium
221.2296153,490.7,42655,47462,18.3,38.3,67.8,0,Low
141.4688576,455.3,33687,1455444,31.5,33.2,43.1,1,Low
224.859717,494.4,46283,196567,17.2,39.9,69.2,1,Medium
219.4502195,517.8,43892,77922,16.2,41.4,67.3,0,Low
208.2055998,470.8,52792,78288,12.7,42.5,71,0,Medium
240.864359,550.1,41757,130779,19.3,41.7,66.5,1,Low
245.7764353,508.2,48880,87071,18.2,40.9,68.8,1,Medium
247.7274588,512.4,46387,48844,16.7,43.8,66,0,Medium
298.7606253,437.1,34842,51881,20.5,46,59.8,0,Low
225.8355917,327,38636,2214,14.6,59,69.4,0,Low
242.3307815,460.2,64350,36314,10.2,44.5,76.5,0,Medium
217.3705005,423,75926,73147,7.9,45.4,81.1,0,High
251.4668902,383.4,46331,7158,14.8,45.9,65.7,0,Medium
160.6897903,491.5,76206,25515,7.5,36.6,83.5,0,High
196.6930973,514.8,64305,16269,8.8,40.7,75.6,0,Medium
437.7564979,446.8,45827,10965,13.7,55.6,71,0,Medium
295.044863,330.5,31429,24742,26.6,42.8,52.5,0,Low
75.34029588,364.9,122641,375629,3.9,35.3,86.9,1,High
222.5304896,456.9,60121,34602,11.5,43.7,67.4,0,Medium
268.3144971,404.1,37548,12299,22.4,44.7,58.5,0,Low
236.028628,463.3,52513,13134,12.3,44.6,65.3,0,Medium
304.6716317,444.9,58268,8862,10.6,51.1,80.6,0,Medium
350.696567,445.1,38500,31081,21.1,47.2,61.7,0,Low
405.4308882,525.6,48921,10606,14.4,52.7,77.6,0,Medium
122.8840896,396.2,43484,97653,24.8,27.5,82.4,1,Low
297.5989178,526.7,48076,14785,13.4,48.4,69.1,0,Medium
191.2514712,454.3,72406,20392,6.2,43.1,83.8,0,Medium
394.8992184,527.2,36822,12155,21.5,48.3,56.8,0,Low
400.58862,450.4,51422,12232,14.3,55.1,76.1,0,Medium
280.7375742,508,37996,15673,24.3,41.5,59.2,0,Low
231.7366116,503.5,59282,35385,10.7,42.6,69.9,0,Medium
273.9610554,430.1,44851,23726,16.9,44.1,63.5,0,Low
288.1684677,339.1,34885,18045,21.9,48,57.4,0,Low
250.8280542,399,44207,62194,14.6,546,66.2,0,Low
185.5089009,459.6,75539,28031,7.1,43.7,83.7,0,High
209.1321018,410.4,37543,22952,25.5,32.1,69.6,0,Low
155.8290634,437,61792,37862,10.5,37.1,80.5,0,Medium
90.09986253,373.7,91886,451721,7.2,34,78,1,High
265.0588372,390.6,46186,34332,14.7,45.2,69.3,0,Medium
230.4147465,401.1,62800,7378,9.3,49.1,68.1,0,Medium
246.9690166,452.4,42204,8908,19.7,43.7,70.6,0,Low
216.081094,400.5,61935,94409,8.2,43.5,79.6,1,Medium
259.4613939,338,48497,22354,13,48.3,69.3,0,Medium
199.7633377,400.2,55798,78593,11.7,41.5,72.9,0,Medium
290.4162633,365.4,37378,27891,17.9,43.8,56.7,0,Low
311.8503119,330.8,36290,22126,20.8,45.4,62.7,0,Low
240.7964807,407.6,45430,43190,12,43.8,68.9,0,Medium
292.3419129,389.1,37831,31470,19.7,44.3,59.2,0,Low
237.4509912,405.7,46521,18109,15.3,45.4,66.8,0,Medium
146.388197,449.4,75714,130475,9.2,36.7,78.3,1,High
112.6736759,450.5,92647,142003,5.9,34.7,84.1,1,High
253.3909674,426.5,48707,6709,12.9,47.5,65.2,0,Medium
256.0819462,486.9,37748,11715,23.9,38.5,66.2,0,Low
296.0441968,376.4,38292,42899,19.2,43.1,59,0,Low
214.9272062,428.2,60714,39083,11.3,40.4,75.2,0,Medium
249.1253137,420.8,43353,54591,14.5,44.7,67.4,0,Low
277.9511033,450.9,48232,17629,15,46.6,64.7,0,Medium
266.8815147,367.3,38528,39718,21.9,39.8,59.7,0,Low
243.8270545,433.5,41132,29119,15.6,43.6,63.9,0,Low
151.8345446,389.3,81169,67837,5.5,39.5,87.2,0,High
107.4841542,317.6,86419,153511,9.6,36,76.4,1,High
338.3699901,265.7,34099,17141,21.8,41.8,57.3,0,Low
287.0957993,578.2,38331,6618,17.2,33.8,59.9,0,Low
128.7636543,718.9,45890,46597,25.9,29.8,76.1,0,Medium
160.5579601,458.3,66625,235429,9.8,36.5,77.9,1,Medium
241.301908,493.6,52355,17820,11.5,40,74.6,0,Medium
308.9206787,539,33646,42082,23.6,41.8,57.2,0,Low
115.174201,447.7,125635,13892,3.2,37.7,92.3,0,High
294.4640754,468,38583,8490,22.5,38,59.4,0,Low
138.7011879,566.3,51195,28118,16.8,29.4,71.3,0,Medium
197.8688789,491.9,47615,136454,15.2,35.4,69.5,1,Medium
97.07259507,591.1,38541,52538,28.3,23.5,72.8,0,Low
290.4638484,547.6,40122,22378,19.5,36.9,62,0,Low
206.7358292,495,40065,79812,25,28.7,69.1,0,Low
98.17067331,364.1,72510,41764,9.8,33.3,69.1,0,Medium
176.0013159,457.2,48440,182385,16.7,32.8,68.8,1,Medium
159.5012845,480.5,42567,246393,23.4,30,63,1,Low
228.4843869,461,31620,3939,21.6,39.3,59.8,0,Low
270.9609878,651.3,32749,32477,25.8,39.5,53.1,0,Low
199.0214777,441.3,84213,12059,5.9,43.8,87.7,0,High
238.0432636,473.2,43045,96201,18.3,34.9,62.4,1,Low
120.6688502,463.1,34267,17403,32.4,22.3,76.1,0,Low
184.303347,475.4,42074,220289,25,32.9,59.3,1,Low
235.2422996,512.4,40735,99897,20.4,38,59.2,1,Low
247.7194086,511.5,54195,25432,10.2,40.5,75.1,0,Medium
262.1231979,537.9,42552,24416,16.5,42.3,68.4,0,Low
191.6947403,472,60735,88161,13.6,38.3,73.4,1,Medium
151.9619212,435.6,67676,452745,8.6,35,80,1,Medium
269.8804151,596.9,44843,21491,14.6,38.5,61.7,0,Low
152.8036141,1014.2,46954,15052,20.1,24.6,83.3,0,Medium
216.2439525,401.9,44537,27284,13.4,37,65.6,0,Low
109.0682456,340.3,47423,19254,19,28.9,45,0,Medium
271.4318028,371.3,44055,22105,16.3,44.2,64.1,0,Low
155.5365222,452.4,58750,190309,14.6,35.5,66.6,1,Medium
190.3653958,451.5,49174,75644,14,39.3,64.3,0,Medium
319.7888033,480.2,47185,73486,16.2,50.1,63.5,0,Medium
167.7929031,427.4,61747,459495,9.9,37.4,69.8,1,Medium
354.969574,476.2,45465,3944,15.5,49.5,60.7,0,Medium
231.9557738,455.5,44235,103468,20.6,41.2,62.3,1,Low
172.6945281,449.9,51151,40534,15.5,37,55.3,0,Medium
250.5935109,358.2,39992,7582,22.4,47.7,50.6,0,Low
96.83921313,420.9,55006,88807,17.3,29.1,52.7,1,Medium
180.261379,293.6,46404,2219,14.2,49.8,62.8,0,Medium
159.7701026,417.9,50388,93259,15.8,32.2,49.9,1,Medium
265.7405585,518.4,43205,71122,19.6,42.7,56.7,0,Low
204.7324209,462,59358,80593,10.3,44,75.7,1,Medium
298.6936257,480.9,50964,30466,14.1,55.6,66,0,Medium
138.8203342,464.2,75738,2117125,11.3,37.2,75.8,1,High
207.7143533,414.6,38989,38033,19.9,39,65.2,0,Low
307.6620954,464.3,34655,30553,24.5,46.4,55.6,0,Low
161.5195762,345.3,60650,77390,10,39.7,80.6,0,Medium
289.83407,416.1,41101,13801,16.5,49.3,65.3,0,Low
277.6479644,393.1,43338,36377,14.8,46.4,66.5,0,Low
271.4440825,358.9,45174,25788,14.4,46.4,71.2,0,Medium
210.4760067,413.5,57088,108801,9.8,41,76.5,1,Medium
229.1848859,489.1,50191,33161,11.6,44.3,71.7,0,Medium
228.7945206,514.3,41787,410849,21.5,39.6,63.5,1,Low
329.836274,475.7,39721,25164,18.5,48.9,61.6,0,Low
356.4253775,324.9,33600,15431,20.9,48.3,61,0,Low
183.3340608,521.2,55592,91636,9.7,41.7,73,1,Medium
207.0293693,447.1,43509,41540,18.5,38.9,68,0,Low
241.6142444,396.3,44780,45941,16.6,42,65,0,Low
184.1671248,373.8,39126,36380,18.7,32.8,71.6,0,Low
313.646771,448.5,41678,31883,14.1,48,69.4,0,Low
152.0527116,514.9,45840,286085,20.1,31.5,72.7,1,Medium
171.2782025,417.8,48681,64223,15.2,37.9,69.1,0,Medium
366.9362793,406.2,37122,25345,19,624,61.4,0,Low
361.2971449,344.3,35961,11348,17.3,53.3,64.1,0,Low
148.5190529,446.7,42431,70698,28.3,26.3,72.6,0,Low
233.237614,473.5,46670,159494,15.4,40.5,67.9,1,Medium
174.4389329,464.2,46283,260263,18.9,34,73.4,1,Medium
260.7184241,469.6,40709,17260,17.4,44.4,60.6,0,Low
151.641579,473.3,53342,636369,15.3,34.8,72.2,1,Medium
230.6273063,337.6,40411,2168,12.7,54.5,66.2,0,Low
367.6470588,395.3,30990,11424,29.2,51.5,51,0,Low
213.8662261,484.6,51510,88373,11.1,43.3,74.7,1,Medium
245.6667122,372.9,60622,21981,8.9,52.4,75.8,0,Medium
220.141418,425.8,48194,98573,14.5,40.9,71.5,1,Medium
168.6988832,433.5,74341,187316,6.1,42.1,83.2,1,Medium
249.4154326,366,37590,6415,20.6,44.3,59.5,0,Low
284.6648301,422.5,39359,10890,15.4,50.9,63.4,0,Low
209.1716387,506.5,54865,864840,12.3,40.8,73.6,1,Medium
294.346102,494.9,37477,24461,16.6,48.2,65.4,0,Low
209.7746039,430.4,44735,67215,15.4,39.1,73.2,0,Low
284.8903867,350.2,42896,28783,16.3,45.7,64.3,0,Low
206.6547473,448.5,41572,43067,23,35.7,67.9,0,Low
297.2651605,310.1,42191,23548,14.5,47.5,66.3,0,Low
191.3143294,438.7,51629,83632,11.9,40.9,76.5,1,Medium
261.6922767,417.3,40455,14903,16.1,43,61.4,0,Low
217.292469,371,57719,149568,10.4,41.7,77,1,Medium
217.6503297,475.3,41554,62945,20.4,40,64.9,0,Low
399.6111891,484.4,37961,9259,15.7,54.6,60.8,0,Low
219.3413971,499,42588,172790,20,39.1,64,1,Low
250.2711271,393.2,41588,47948,21,42.4,62.4,0,Low
179.5856731,495.7,69378,1242304,10,40.8,79,1,Medium
206.856924,370.2,41166,26105,20.1,42.3,61.3,0,Low
296.1264747,402.9,35968,20937,21.4,49,60.1,0,Low
366.2393874,396,35387,6007,17.8,55.6,63.6,0,Low
260.213375,541.3,40235,23058,20.4,42.5,59.7,0,Low
363.5922918,404.3,33975,8251,20.5,51.3,57.4,0,Low
263.8848802,457,44693,24253,13.2,44.2,68.4,0,Low
137.1649015,404.1,60577,279955,9.1,34.7,80.2,1,Medium
342.6524414,414.7,39420,12841,16.1,53.2,70,0,Low
405.8917064,496.9,35002,23898,20.7,54.4,60.7,0,Low
227.0998981,475.4,44548,193307,17.4,40.3,67,1,Low
238.9366693,488,50303,159875,13.8,42.8,71.2,1,Medium
219.607329,404.4,43687,61018,18.5,39.2,66.2,0,Low
245.9312839,368.5,42081,41475,14.7,44.2,63.8,0,Low
354.826869,439.1,39539,8173,17.6,50,60,0,Low
228.7996036,505,47882,68619,15.3,41.5,70.7,0,Medium
243.5985644,459,43186,53777,15.6,43.3,68,0,Low
223.7702625,431.5,46715,75077,16.5,41.3,62.7,0,Medium
137.6504681,463.9,62861,358880,14.3,33.4,82.2,1,Medium
223.2093376,528.7,41434,1759335,24.1,37.8,58.4,1,Low
254.5223162,528.4,39807,33003,19,41.7,63.4,0,Low
318.4307731,453.5494221,40676,15702,14.9,53.1,66.3,0,Low
144.4133534,453.5494221,70868,344151,7.6,37.9,79.3,1,Medium
257.5930031,453.5494221,51116,33386,14.6,42.4,66.7,0,Medium
172.9724996,453.5494221,43706,45672,18.5,33.3,58.6,0,Low
158.6502141,453.5494221,52531,39710,13.6,35.4,71.5,0,Medium
207.99744,532.7,51576,81251,16.6,39.4,72.6,1,Medium
258.4987563,472.2,55047,61509,11.6,46.6,73.1,0,Medium
206.2110777,522,48357,48494,13.8,36.1,75.3,0,Medium
251.8836992,461,45860,46053,14.4,46.4,66.8,0,Medium
192.3896211,486.7,70925,295754,10.2,41.2,76.3,1,Medium
236.6195595,544.1,50134,922578,15.2,40.4,71.9,1,Medium
252.0921046,463.7,50182,38478,12,45.9,70.8,0,Medium
207.2641137,466.4,45704,50660,18.5,39.8,64.6,0,Medium
248.1849163,504.2,45409,53992,17.8,42.8,64.2,0,Medium
239.2385089,520.5,52410,58937,12,42.7,73.2,0,Medium
268.7664042,505.7,52597,47625,11.1,45.2,70.6,0,Medium
360.7809847,526.9,49137,4712,11.4,51.9,73.1,0,Medium
212.3613312,480.7,44148,63100,16.5,42.9,65.8,0,Low
166.6170783,500.8,49781,117635,15.1,31.8,69.7,1,Medium
145.0278469,452.3,47547,2636735,23.4,34.4,51.4,1,Medium
218.8670846,470.1,47542,26957,14.3,41.4,68.3,0,Medium
205.5101442,462.2,49920,64717,14.7,40.1,76.5,0,Medium
208.7711729,505.4,51600,71849,11.8,40.8,74.1,0,Medium
201.040555,498.9,51371,749600,14.2,38.5,73.1,1,Medium
231.6586761,511,40923,49642,18.9,41,61.4,0,Low
187.2406068,514.3,98312,1361350,6.7,41.3,79.6,1,High
157.1281068,463.9,75459,1644518,17.7,36.6,67.3,1,High
237.9474447,507.2,49274,212652,13.4,42.6,72.9,1,Medium
233.1182796,501.5,48350,232500,17.7,41.2,66.4,1,Medium
215.8121346,525.9,52892,468463,16.1,38.8,73.1,1,Medium
208.1032484,484.6,58473,109561,11.5,43.1,75.4,1,Medium
166.2928608,503.5,69228,377647,13.4,36.8,71.9,1,Medium
228.4642393,495.9,46577,41582,15.5,42.2,67.8,0,Medium
271.4440825,459.8,36891,5526,21.9,43,57.4,0,Low
184.2628896,477.1,54026,169866,12.7,39.9,69.1,1,Medium
203.562341,458.4,38130,41265,23.5,36.8,65.1,0,Low
155.1222665,459.8,50055,185660,15.3,37.4,64.1,1,Medium
299.6105063,464.6,38928,10013,22.2,45.2,54.9,0,Low
199.4636272,462.5,46073,59660,18.5,37.5,59,0,Medium
258.1489003,524.4,35991,58106,22.1,42.1,53.2,0,Low
181.4030974,460.5,49676,81035,16,42,64.8,1,Medium
237.8359154,483.7,37881,44989,17.6,43.1,57.9,0,Low
271.9218736,440,37884,34201,18.1,49,55.4,0,Low
198.6848952,416.2,38445,21139,19.9,44,61.8,0,Low
261.1636768,491.5,35930,23357,19.7,46,55.2,0,Low
117.5935865,451,59049,1034070,15.2,34.5,67.9,1,Medium
295.1593861,450.3,36795,15246,19.2,46.7,61.8,0,Low
196.0214898,447.6,38530,27548,21.1,41.1,51.5,0,Low
254.3666271,483.6,51650,94352,15.5,45.1,66.3,1,Medium
228.9206657,452.5,43348,93919,18.2,41,59.8,1,Low
175.6233039,442.6,49905,220358,18,37.8,70,1,Medium
298.6389895,452.7,32063,20426,25.8,47.1,50.3,0,Low
110.567814,477.5,47201,186311,14.3,26.1,73.1,1,Medium
129.4622013,436.7,60304,141354,14.1,33.3,79.3,1,Medium
258.1957593,499.4,43097,12781,17.9,49.8,61.4,0,Low
233.4982048,473.4,44596,39829,18.8,37.4,62.9,0,Low
194.407318,463.5,45453,57611,15.4,42.1,63.1,0,Medium
245.5357143,400,41328,13440,17.1,47.8,58.3,0,Low
249.62429,477.8,45841,39259,18.7,508.8,60,0,Medium
145.0165489,457.6,41765,175842,23.4,31.5,66.2,1,Low
