date,temperature_c
09/30/2007,0.7
10/01/2007,-9
10/02/2007,-1.3
10/03/2007,-4.3
10/04/2007,-3
10/05/2007,0.4
10/06/2007,-4.1
10/07/2007,5.1
10/08/2007,-2.6
10/09/2007,6.6
10/10/2007,-0.3
10/11/2007,-4.4
10/12/2007,2.4
10/13/2007,-2.9
10/14/2007,-4.7
10/15/2007,4.4
10/16/2007,-4.9
10/17/2007,-0.3
10/18/2007,-3
10/19/2007,-3.7
10/20/2007,-2.2
10/21/2007,-3.2
10/22/2007,-2.1
10/23/2007,-9.4
10/24/2007,-4
10/25/2007,-0.1
10/26/2007,-1.1
10/27/2007,1.6
10/28/2007,-7.5
10/29/2007,-2.9
10/30/2007,1
10/31/2007,1.6
11/01/2007,-1.3
11/02/2007,0.5
11/03/2007,-3.3
11/04/2007,-2.8
11/05/2007,-4.1
11/06/2007,-3.3
11/07/2007,2
11/08/2007,3.5
11/09/2007,-8.4
11/10/2007,-1.6
11/11/2007,1
11/12/2007,-1.7
11/13/2007,2.4
11/14/2007,-0.9
11/15/2007,-4.5
11/16/2007,-1.7
11/17/2007,1.2
11/18/2007,-2
11/19/2007,2.6
11/20/2007,-2.6
11/21/2007,-2.8
11/22/2007,0.5
11/23/2007,0.7
11/24/2007,0.2
11/25/2007,-1.1
11/26/2007,1
11/27/2007,-1
11/28/2007,-0.7
11/29/2007,-1.4
11/30/2007,-0.6
12/01/2007,-1.7
12/02/2007,-1.4
12/03/2007,0.2
12/04/2007,2.1
12/05/2007,-0.8
12/06/2007,0.6
12/07/2007,-2.1
12/08/2007,-0.4
12/09/2007,2.4
12/10/2007,-0.2
12/11/2007,0.3
12/12/2007,0.1
12/13/2007,-0.6
12/14/2007,2.4
12/15/2007,0.3
12/16/2007,1.6
12/17/2007,-0.3
12/18/2007,4
12/19/2007,4.1
12/20/2007,0.5
12/21/2007,-0.2
12/22/2007,0.8
12/23/2007,3.4
12/24/2007,4.2
12/25/2007,1.2
12/26/2007,3
12/27/2007,0.8
12/28/2007,2
12/29/2007,2.9
12/30/2007,3.1
12/31/2007,0
01/01/2008,2.6
01/02/2008,1.4
01/03/2008,4.9
01/04/2008,2.2
01/05/2008,3.4
01/06/2008,3.1
01/07/2008,1.7
01/08/2008,6.1
01/09/2008,2.4
01/10/2008,2
01/11/2008,2.1
01/12/2008,3.2
01/13/2008,3.1
01/14/2008,-0.3
01/15/2008,2.2
01/16/2008,0.1
01/17/2008,-0.3
01/18/2008,1.8
01/19/2008,3.5
01/20/2008,1.5
01/21/2008,3.2
01/22/2008,0.1
01/23/2008,1.7
01/24/2008,-0.6
01/25/2008,1.8
01/26/2008,2.1
01/27/2008,1.5
01/28/2008,2.6
01/29/2008,3.6
01/30/2008,1.8
01/31/2008,3.2
02/01/2008,3.2
02/02/2008,0.1
02/03/2008,2.1
02/04/2008,3.2
02/05/2008,1.7
02/06/2008,1.9
02/07/2008,1.1
02/08/2008,0.8
02/09/2008,1.4
02/10/2008,3.8
02/11/2008,4.4
02/12/2008,0.6
02/13/2008,3.8
02/14/2008,3.4
02/15/2008,0.3
02/16/2008,2.3
02/17/2008,2.8
02/18/2008,3
02/19/2008,-0.1
02/20/2008,1
02/21/2008,0.1
02/22/2008,3.1
02/23/2008,2.8
02/24/2008,1.1
02/25/2008,0.5
02/26/2008,2
02/27/2008,4.5
02/28/2008,2.3
02/29/2008,2.3
03/01/2008,0.4
03/02/2008,2.2
03/03/2008,-0.7
03/04/2008,-1.6
03/05/2008,-0.2
03/06/2008,3.6
03/07/2008,2
03/08/2008,3.4
03/09/2008,1.3
03/10/2008,-0.6
03/11/2008,1.2
03/12/2008,-0.3
03/13/2008,2.4
03/14/2008,-0.4
03/15/2008,-0.1
03/16/2008,-0.1
03/17/2008,-0.5
03/18/2008,0.5
03/19/2008,5.2
03/20/2008,0.3
03/21/2008,0.2
03/22/2008,-1.6
03/23/2008,-0.3
03/24/2008,1.9
03/25/2008,-0.6
03/26/2008,1.4
03/27/2008,3.3
03/28/2008,1.2
03/29/2008,-1.3
03/30/2008,-1.4
03/31/2008,-3.5
04/01/2008,3.3
04/02/2008,0.2
04/03/2008,1
04/04/2008,-0.2
04/05/2008,1.1
04/06/2008,-3.4
04/07/2008,-2
04/08/2008,0.5
04/09/2008,-1.2
04/10/2008,-2
04/11/2008,1.7
04/12/2008,-2.5
04/13/2008,-1.4
04/14/2008,1.1
04/15/2008,-1.9
04/16/2008,-3.2
04/17/2008,3.6
04/18/2008,-0.7
04/19/2008,-0.4
04/20/2008,-2.3
04/21/2008,-1.6
04/22/2008,-3.8
04/23/2008,1.1
04/24/2008,-1.2
04/25/2008,0.9
04/26/2008,0
04/27/2008,-2.9
04/28/2008,0.2
04/29/2008,0.3
04/30/2008,-4.7
05/01/2008,4
05/02/2008,-3.2
05/03/2008,0.1
05/04/2008,-5.5
05/05/2008,2.2
05/06/2008,-3.5
05/07/2008,-0.9
05/08/2008,2.6
05/09/2008,-7.3
05/10/2008,-5.1
05/11/2008,0.2
05/12/2008,-0.7
05/13/2008,1.5
05/14/2008,3.5
05/15/2008,0.4
05/16/2008,-1.9
05/17/2008,-4
05/18/2008,-2.4
05/19/2008,0.2
05/20/2008,-4.9
05/21/2008,-1.8
05/22/2008,-4.5
05/23/2008,-3.3
05/24/2008,-1.3
05/25/2008,-1.3
05/26/2008,-0.7
05/27/2008,-3.9
05/28/2008,-0.3
05/29/2008,-2.8
05/30/2008,-6.2
05/31/2008,-5.9
06/01/2008,-1.4
06/02/2008,-4.7
06/03/2008,-3.2
06/04/2008,1.9
06/05/2008,-4
06/06/2008,-2.8
06/07/2008,-2.8
06/08/2008,0.7
06/09/2008,-1.6
06/10/2008,-1
06/11/2008,-3.2
06/12/2008,-4.7
06/13/2008,-3.2
06/14/2008,-1.9
06/15/2008,-4.7
06/16/2008,-5.5
06/17/2008,-3.6
06/18/2008,-1.3
06/19/2008,-4.9
06/20/2008,-3.4
06/21/2008,-0.5
06/22/2008,-7.1
06/23/2008,-5
06/24/2008,-7.9
06/25/2008,-4.3
06/26/2008,-1.2
06/27/2008,-2.5
06/28/2008,-3.9
06/29/2008,-5.4
06/30/2008,-4.1
07/01/2008,-4.2
07/02/2008,-4.5
07/03/2008,-4.8
07/04/2008,-3.2
07/05/2008,-7
07/06/2008,-2.8
07/07/2008,-11.3
07/08/2008,-5.5
07/09/2008,-5.6
07/10/2008,-0.8
07/11/2008,-3.3
07/12/2008,-2.3
07/13/2008,1.5
07/14/2008,-8.1
07/15/2008,-13.5
07/16/2008,-9.2
07/17/2008,-2.9
07/18/2008,-5.8
07/19/2008,-7.3
07/20/2008,-6.1
07/21/2008,-9.2
07/22/2008,-8.9
07/23/2008,-7.8
07/24/2008,-1.8
07/25/2008,-4.6
07/26/2008,-0.1
07/27/2008,-6.9
07/28/2008,-5.3
07/29/2008,-8.2
07/30/2008,-6.6
07/31/2008,-13.8
08/01/2008,-5.7
08/02/2008,-8.3
08/03/2008,-3.3
08/04/2008,-11.7
08/05/2008,-1.6
08/06/2008,-4.7
08/07/2008,-9.9
08/08/2008,2.4
08/09/2008,-4.1
08/10/2008,-4.8
08/11/2008,0.4
08/12/2008,-6.1
08/13/2008,-9
08/14/2008,-1.5
08/15/2008,-10.7
08/16/2008,-4.1
08/17/2008,-5.7
08/18/2008,-12.3
08/19/2008,-11.2
08/20/2008,-1.3
08/21/2008,6.4
08/22/2008,-16.6
08/23/2008,-8.9
08/24/2008,-8.8
08/25/2008,-6.3
08/26/2008,0.1
08/27/2008,1.1
08/28/2008,-4.2
08/29/2008,-5
08/30/2008,2.7
08/31/2008,-7.3
09/01/2008,-12
09/02/2008,-6.2
09/03/2008,-5.7
09/04/2008,-6.1
09/05/2008,-2.2
09/06/2008,-9.3
09/07/2008,-4
09/08/2008,-4.6
09/09/2008,-11.2
09/10/2008,-5.5
09/11/2008,-11.9
09/12/2008,-13.8
09/13/2008,-1
09/14/2008,-7.4
09/15/2008,-14.2
09/16/2008,2.3
09/17/2008,-10.6
09/18/2008,4.2
09/19/2008,0.5
09/20/2008,-2.4
09/21/2008,-2.6
09/22/2008,-7.9
09/23/2008,-0.6
09/24/2008,-6.8
09/25/2008,-5.4
09/26/2008,-3.3
09/27/2008,-6.1
09/28/2008,-1.6
09/29/2008,1.5
09/30/2008,4.6
10/01/2008,-3.2
10/02/2008,-3.6
10/03/2008,-3
10/04/2008,-5.5
10/05/2008,-5.4
10/06/2008,-1.9
10/07/2008,-0.5
10/08/2008,-5.9
10/09/2008,-4.1
10/10/2008,-1.7
10/11/2008,-3.9
10/12/2008,-5.5
10/13/2008,0.2
10/14/2008,-9.6
10/15/2008,-6.3
10/16/2008,-6.1
10/17/2008,-7.6
10/18/2008,0.1
10/19/2008,0.8
10/20/2008,-1.9
10/21/2008,3.1
10/22/2008,5.6
10/23/2008,-6
10/24/2008,-2.4
10/25/2008,-2.7
10/26/2008,-0.1
10/27/2008,-1.1
10/28/2008,-1.6
10/29/2008,-3.3
10/30/2008,-1
10/31/2008,-4.8
11/01/2008,-0.5
11/02/2008,-0.6
11/03/2008,-2.7
11/04/2008,-3.8
11/05/2008,-0.4
11/06/2008,-1.6
11/07/2008,-1.5
11/08/2008,-3.4
11/09/2008,-3
11/10/2008,0.4
11/11/2008,-4.4
11/12/2008,-1.8
11/13/2008,1.6
11/14/2008,-0.8
11/15/2008,-0.6
11/16/2008,-4.2
11/17/2008,-2.2
11/18/2008,1.1
11/19/2008,-2.1
11/20/2008,-0.1
11/21/2008,-5.2
11/22/2008,-1.7
11/23/2008,-0.1
11/24/2008,-0.2
11/25/2008,1.8
11/26/2008,0.6
11/27/2008,-1.2
11/28/2008,1.7
11/29/2008,2.1
11/30/2008,-0.1
12/01/2008,0.7
12/02/2008,-0.1
12/03/2008,-0.2
12/04/2008,0.7
12/05/2008,0.6
12/06/2008,3.1
12/07/2008,-2.1
12/08/2008,-0.1
12/09/2008,1.1
12/10/2008,1.1
12/11/2008,0.1
12/12/2008,1.6
12/13/2008,0.2
12/14/2008,-0.3
12/15/2008,-0.1
12/16/2008,2.9
12/17/2008,-2.6
12/18/2008,1.8
12/19/2008,2.7
12/20/2008,-0.2
12/21/2008,2.4
12/22/2008,1.3
12/23/2008,2.2
12/24/2008,2.4
12/25/2008,0.9
12/26/2008,0.6
12/27/2008,2.3
12/28/2008,0.3
12/29/2008,3.7
12/30/2008,1.7
12/31/2008,1.3
01/01/2009,3.3
01/02/2009,-0.1
01/03/2009,-1.4
01/04/2009,1.1
01/05/2009,0.6
01/06/2009,1.4
01/07/2009,1.6
01/08/2009,2.4
01/09/2009,0.7
01/10/2009,1.6
01/11/2009,1.5
01/12/2009,0.9
01/13/2009,1.2
01/14/2009,0.3
01/15/2009,3.6
01/16/2009,0.2
01/17/2009,2.7
01/18/2009,1.1
01/19/2009,-0.1
01/20/2009,2.4
01/21/2009,3.8
01/22/2009,2.9
01/23/2009,1.5
01/24/2009,3.8
01/25/2009,3.9
01/26/2009,3.3
01/27/2009,1.6
01/28/2009,1.8
01/29/2009,2.9
01/30/2009,2.9
01/31/2009,1.8
02/01/2009,3
02/02/2009,1.9
02/03/2009,1.8
02/04/2009,0.1
02/05/2009,2.9
02/06/2009,2.6
02/07/2009,4.7
02/08/2009,0.2
02/09/2009,-0.7
02/10/2009,0.7
02/11/2009,3.7
02/12/2009,4
02/13/2009,1.8
02/14/2009,1.9
02/15/2009,0.5
02/16/2009,4.2
02/17/2009,1.3
02/18/2009,2.2
02/19/2009,1
02/20/2009,2.5
02/21/2009,1.8
02/22/2009,0.8
02/23/2009,3.2
02/24/2009,3.2
02/25/2009,-1.1
02/26/2009,0.6
02/27/2009,1.5
02/28/2009,0.4
03/01/2009,3.7
03/02/2009,3.4
03/03/2009,1.9
03/04/2009,-0.8
03/05/2009,4.9
03/06/2009,0
03/07/2009,2
03/08/2009,-0.7
03/09/2009,3.4
03/10/2009,2.8
03/11/2009,-0
03/12/2009,0.6
03/13/2009,0.1
03/14/2009,0.4
03/15/2009,0.9
03/16/2009,1.1
03/17/2009,2.1
03/18/2009,0.6
03/19/2009,2.4
03/20/2009,0.4
03/21/2009,2
03/22/2009,-0.9
03/23/2009,-0.1
03/24/2009,-0.7
03/25/2009,0
03/26/2009,1.9
03/27/2009,1.9
03/28/2009,-1.2
03/29/2009,-1.8
03/30/2009,-2.8
03/31/2009,1.6
04/01/2009,1.3
04/02/2009,-1.1
04/03/2009,2.8
04/04/2009,-1.2
04/05/2009,0.8
04/06/2009,-0.6
04/07/2009,0.5
04/08/2009,0.3
04/09/2009,-0.3
04/10/2009,-1.3
04/11/2009,1.6
04/12/2009,1.2
04/13/2009,0
04/14/2009,-1.7
04/15/2009,-1.9
04/16/2009,-1.9
04/17/2009,1.4
04/18/2009,-4
04/19/2009,-4.8
04/20/2009,-2.8
04/21/2009,-1.6
04/22/2009,-1.2
04/23/2009,1.7
04/24/2009,-2.1
04/25/2009,-1
04/26/2009,-6.1
04/27/2009,4.5
04/28/2009,-1.7
04/29/2009,0.1
04/30/2009,0.3
05/01/2009,2.1
05/02/2009,-2.8
05/03/2009,2.5
05/04/2009,-0.4
05/05/2009,-1.3
05/06/2009,0.3
05/07/2009,-0.2
05/08/2009,-0.4
05/09/2009,-5.3
05/10/2009,-3.7
05/11/2009,-1.6
05/12/2009,0.3
05/13/2009,0.1
05/14/2009,3.1
05/15/2009,-2.5
05/16/2009,0.9
05/17/2009,2.8
05/18/2009,0.1
05/19/2009,-1
05/20/2009,2.6
05/21/2009,-2.6
05/22/2009,-2
05/23/2009,-0
05/24/2009,-6.5
05/25/2009,-2.9
05/26/2009,-0.3
05/27/2009,-3.6
05/28/2009,-1.4
05/29/2009,0.8
05/30/2009,-4.8
05/31/2009,-6.7
06/01/2009,-2.5
06/02/2009,1.2
06/03/2009,-3.3
06/04/2009,-9.4
06/05/2009,-3.6
06/06/2009,-1.3
06/07/2009,-1.8
06/08/2009,-4
06/09/2009,-3.6
06/10/2009,-4.8
06/11/2009,-2.1
06/12/2009,-4.4
06/13/2009,-5.7
06/14/2009,3
06/15/2009,-2.9
06/16/2009,-3.7
06/17/2009,-3.6
06/18/2009,-4.3
06/19/2009,-4.2
06/20/2009,-4.8
06/21/2009,-1.6
06/22/2009,3.1
06/23/2009,-5
06/24/2009,1.2
06/25/2009,-2.3
06/26/2009,-4.1
06/27/2009,-7
06/28/2009,-1.7
06/29/2009,-11.1
06/30/2009,-3.2
07/01/2009,-1.8
07/02/2009,-0.8
07/03/2009,-12.7
07/04/2009,-7.5
07/05/2009,-10.3
07/06/2009,-7.2
07/07/2009,-4.4
07/08/2009,-5
07/09/2009,-0.6
07/10/2009,-3.5
07/11/2009,-8.5
07/12/2009,1.3
07/13/2009,-12.5
07/14/2009,-12.5
07/15/2009,-3.7
07/16/2009,-6.8
07/17/2009,-7.6
07/18/2009,-1.6
07/19/2009,1.5
07/20/2009,-0.3
07/21/2009,-4.5
07/22/2009,-1.9
07/23/2009,-2.6
07/24/2009,-4.7
07/25/2009,-6.9
07/26/2009,-9
07/27/2009,-6.2
07/28/2009,-6.8
07/29/2009,-7.3
07/30/2009,-2.1
07/31/2009,-14.5
08/01/2009,-2.8
08/02/2009,3.3
08/03/2009,-5
08/04/2009,-5.6
08/05/2009,-2.4
08/06/2009,2
08/07/2009,-1
08/08/2009,-9.7
08/09/2009,1.3
08/10/2009,-7.9
08/11/2009,-7.3
08/12/2009,-3.1
08/13/2009,-6
08/14/2009,-8.6
08/15/2009,0.8
08/16/2009,-6.8
08/17/2009,-8
08/18/2009,-1
08/19/2009,-3.5
08/20/2009,-1.9
08/21/2009,3.8
08/22/2009,-6
08/23/2009,-10.6
08/24/2009,-14.7
08/25/2009,-11.9
08/26/2009,-1.9
08/27/2009,-4.5
08/28/2009,-2
08/29/2009,-1
08/30/2009,-9.1
08/31/2009,-4.1
09/01/2009,-3.5
09/02/2009,-5.1
09/03/2009,4.4
09/04/2009,-5.7
09/05/2009,-5.6
09/06/2009,-1.6
09/07/2009,-13.7
09/08/2009,-4
09/09/2009,-2.4
09/10/2009,-4.6
09/11/2009,-8.4
09/12/2009,-6.6
09/13/2009,-10
09/14/2009,-2.9
09/15/2009,-6.5
09/16/2009,-4.4
09/17/2009,-4
09/18/2009,-2.6
09/19/2009,-8
09/20/2009,2.8
09/21/2009,-7.1
09/22/2009,-0.6
09/23/2009,-4.2
09/24/2009,-7.4
09/25/2009,-7.9
09/26/2009,-2.2
09/27/2009,-3.7
09/28/2009,-7.9
09/29/2009,-1
09/30/2009,-6
10/01/2009,-5.7
10/02/2009,-0.8
10/03/2009,-5
10/04/2009,-4.4
10/05/2009,-4.1
10/06/2009,-0.1
10/07/2009,-3.5
10/08/2009,-5.9
10/09/2009,-4.5
10/10/2009,0
10/11/2009,-4
10/12/2009,-2.8
10/13/2009,-2.5
10/14/2009,-0.7
10/15/2009,-2.5
10/16/2009,-5.6
10/17/2009,-11.8
10/18/2009,-4.6
10/19/2009,-0.9
10/20/2009,-2.2
10/21/2009,-1.7
10/22/2009,-6.5
10/23/2009,-2.7
10/24/2009,-2.2
10/25/2009,-2
10/26/2009,1.5
10/27/2009,2.4
10/28/2009,-3.6
10/29/2009,0.7
10/30/2009,-2.1
10/31/2009,-1.2
11/01/2009,-2.1
11/02/2009,1.5
11/03/2009,-4.1
11/04/2009,4.1
11/05/2009,-2.3
11/06/2009,-0.3
11/07/2009,-1.1
11/08/2009,-1.8
11/09/2009,-2.1
11/10/2009,0.2
11/11/2009,1.2
11/12/2009,-0
11/13/2009,0.4
11/14/2009,-0.3
11/15/2009,0.8
11/16/2009,1.2
11/17/2009,1.1
11/18/2009,-1.3
11/19/2009,-2.4
11/20/2009,-0.2
11/21/2009,-0.7
11/22/2009,2
11/23/2009,4.6
11/24/2009,1.1
11/25/2009,0.2
11/26/2009,-0.7
11/27/2009,2.1
11/28/2009,1
11/29/2009,0.2
11/30/2009,2.1
12/01/2009,0.2
12/02/2009,-0.3
12/03/2009,-0.7
12/04/2009,0.1
12/05/2009,-0.4
12/06/2009,1.3
12/07/2009,-1.7
12/08/2009,-0.4
12/09/2009,0
12/10/2009,0.5
12/11/2009,3.4
12/12/2009,0.6
12/13/2009,1.9
12/14/2009,1
12/15/2009,2.5
12/16/2009,0.4
12/17/2009,-0.5
12/18/2009,1.6
12/19/2009,-0.6
12/20/2009,1.3
12/21/2009,1.2
12/22/2009,4.4
12/23/2009,0.4
12/24/2009,1.4
12/25/2009,1.7
12/26/2009,-0.7
12/27/2009,1.3
12/28/2009,3.1
12/29/2009,2.7
12/30/2009,3.4
12/31/2009,3
